State,Total_Drivers_Y18,Total_Drivers_Y20,Total_Drivers_Y22
Alabama,3999057,4042900,4087885
Alaska,536033,518872,521220
Arizona,5284970,5681495,5847661
Arkansas,2145334,2153929,2306921
California,27039400,27005302,27632103
Colorado,4244713,4299447,4477447
Connecticut,2605612,2508670,2628775
Delaware,786504,829226,862122
District of Columbia,527731,520865,510985
Florida,15368695,15715373,16495556
Georgia,7168733,7521750,7360699
Hawaii,948417,921547,937076
Idaho,1252535,1285331,1392644
Illinois,8714788,8225298,8509418
Indiana,4589405,4532708,4653808
Iowa,2260271,2268916,2354046
Kansas,2149430,2004302,2052473
Kentucky,3032530,2905632,2993550
Louisiana,3425435,3416648,3401947
Maine,1040582,1047893,1060461
Maryland,4407973,4454266,4398839
Massachusetts,4944666,4940373,4889069
Michigan,7153645,7026650,7776994
Minnesota,3391057,4090264,4117786
Mississippi,2058036,2017111,2047069
Missouri,4272960,4259672,4290391
Montana,806204,826754,870882
Nebraska,1420317,1438821,1449818
Nevada,1983453,2056394,2210689
New Hampshire,1161665,1060381,1174826
New Jersey,6342876,6230912,6633936
New Mexico,1458433,1473219,1508575
New York,12194360,12194360,12084675
North Carolina,7509231,7637400,7980262
North Dakota,561333,539006,563161
Ohio,8032665,8100273,8405794
Oklahoma,2504253,2550560,2556609
Oregon,2930702,2944828,3104916
Pennsylvania,8991370,8930677,9124262
Rhode Island,756966,731715,760414
South Carolina,3846069,3905911,4091650
South Dakota,638428,658091,679711
Tennessee,5422429,4877268,5061288
Texas,17370383,17667039,18738980
Utah,2030644,2149766,2252656
Vermont,564892,460871,478421
Virginia,5929031,5909716,5837147
Washington,5909967,5812500,5956048
West Virginia,1136775,1101775,1148406
Wisconsin,4288171,4315892,4374582
Wyoming,419256,427233,431900